Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q23A,Q25A,Q28A,Q30A,Q36A,Q40A,Q41A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,religion,orientation,race,married,familysize,age_group,predict
0,2,1,1,0,0,1,0,0,0,1,2,1,1,5,5,5,4,5,3,6,5,4,4,4,3,1,1,1,10,1,2,4,Moderate
1,1,0,1,0,2,1,1,0,1,0,1,0,1,5,4,1,2,4,5,6,6,3,5,2,3,2,7,1,60,1,1,3,Moderate
0,0,0,1,0,3,0,0,0,0,1,0,2,3,2,5,6,3,5,6,4,3,4,4,2,2,2,7,1,60,1,4,3,Moderate
0,0,0,1,1,0,0,0,0,0,2,0,3,0,3,4,3,3,4,5,3,5,4,4,2,2,1,7,1,60,1,4,3,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,1,5,6,2,3,7,3,4,1,1,2,1,60,2,2,5,Normal
0,0,0,0,2,0,2,0,1,0,0,2,0,0,2,5,6,1,7,6,3,4,6,1,4,2,1,4,1,60,1,3,5,Normal
2,2,3,2,2,2,3,1,1,2,2,2,3,2,5,3,2,7,5,3,5,6,3,3,3,2,2,12,2,60,1,2,4,Extremely Severe
0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,7,6,2,4,6,4,6,6,4,3,3,1,10,1,10,1,3,4,Normal
0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,5,7,7,4,6,4,1,5,2,4,2,2,8,1,10,2,2,5,Normal
1,3,3,1,0,0,1,0,3,1,1,0,1,2,3,5,5,6,6,5,6,7,3,4,2,3,2,2,2,60,1,2,3,Severe
1,2,2,1,1,0,2,0,3,1,2,2,1,1,2,2,4,4,4,7,6,6,6,4,4,3,2,12,1,60,1,1,5,Severe
2,1,2,1,0,2,2,0,2,1,2,2,0,1,6,5,5,6,5,3,6,7,1,3,2,3,2,1,1,60,1,2,3,Severe
1,1,1,2,1,1,1,0,2,2,1,0,2,0,1,6,7,6,5,5,4,1,3,4,4,3,2,2,1,60,2,2,4,Severe
3,0,0,1,0,1,2,1,0,1,1,1,2,1,1,2,3,3,7,6,7,6,2,5,3,2,1,2,1,60,2,2,6,Moderate
3,3,3,3,2,2,3,0,2,3,2,3,2,3,2,5,6,7,2,6,6,2,1,1,2,3,2,4,2,60,1,2,3,Extremely Severe
2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,5,7,7,4,7,6,1,4,1,3,2,2,12,3,60,1,2,4,Extremely Severe
1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,7,2,6,6,1,1,7,4,3,2,2,2,2,60,3,2,5,Normal
3,3,0,2,0,0,3,0,3,1,3,2,0,2,3,7,7,7,7,7,7,7,3,1,2,1,2,7,4,70,1,4,3,Extremely Severe
